exp_id,size
cloud_proxy_and_attacker_noattacker/3/proxy_dump.pcap.zip,264230
cloud_proxy_and_attacker_noattacker/3/receiver_dump.pcap.zip,384
cloud_proxy_and_attacker_noattacker/3/server_dump.pcap.zip,176375
cloud_proxy_and_attacker_noattacker_dtlson/1/client1_dump.pcap.zip,458008
cloud_proxy_and_attacker_noattacker_dtlson/1/proxy_dump.pcap.zip,655261
cloud_proxy_and_attacker_noattacker_dtlson/1/receiver_dump.pcap.zip,398
cloud_proxy_and_attacker_noattacker_dtlson/1/server_dump.pcap.zip,173905
cloud_proxy_and_attacker_noattacker_dtlson/2/client1_dump.pcap.zip,458475
cloud_proxy_and_attacker_noattacker_dtlson/2/proxy_dump.pcap.zip,656044
cloud_proxy_and_attacker_noattacker_dtlson/2/receiver_dump.pcap.zip,398
cloud_proxy_and_attacker_noattacker_dtlson/2/server_dump.pcap.zip,173448
cloud_proxy_and_attacker_noattacker_dtlson/3/client1_dump.pcap.zip,458964
cloud_proxy_and_attacker_noattacker_dtlson/3/proxy_dump.pcap.zip,656658
cloud_proxy_and_attacker_noattacker_dtlson/3/receiver_dump.pcap.zip,398
cloud_proxy_and_attacker_noattacker_dtlson/3/server_dump.pcap.zip,174273
cloud_proxy_and_attacker_noattacker_dtlson_httpson/1/client1_dump.pcap.zip,459821
cloud_proxy_and_attacker_noattacker_dtlson_httpson/1/proxy_dump.pcap.zip,1648882
cloud_proxy_and_attacker_noattacker_dtlson_httpson/1/receiver_dump.pcap.zip,414
cloud_proxy_and_attacker_noattacker_dtlson_httpson/1/server_dump.pcap.zip,1184975
cloud_proxy_and_attacker_noattacker_dtlson_httpson/2/client1_dump.pcap.zip,459583
cloud_proxy_and_attacker_noattacker_dtlson_httpson/2/proxy_dump.pcap.zip,1648008
cloud_proxy_and_attacker_noattacker_dtlson_httpson/2/receiver_dump.pcap.zip,414
cloud_proxy_and_attacker_noattacker_dtlson_httpson/2/server_dump.pcap.zip,1184252
cloud_proxy_and_attacker_noattacker_dtlson_httpson/3/client1_dump.pcap.zip,459295
cloud_proxy_and_attacker_noattacker_dtlson_httpson/3/proxy_dump.pcap.zip,1647897
cloud_proxy_and_attacker_noattacker_dtlson_httpson/3/receiver_dump.pcap.zip,414
cloud_proxy_and_attacker_noattacker_dtlson_httpson/3/server_dump.pcap.zip,1184247
cloud_proxy_and_attacker_noattacker_httpson/1/client1_dump.pcap.zip,106393
cloud_proxy_and_attacker_noattacker_httpson/1/proxy_dump.pcap.zip,1317806
cloud_proxy_and_attacker_noattacker_httpson/1/receiver_dump.pcap.zip,400
cloud_proxy_and_attacker_noattacker_httpson/1/server_dump.pcap.zip,1198675
cloud_proxy_and_attacker_noattacker_httpson/2/client1_dump.pcap.zip,106709
cloud_proxy_and_attacker_noattacker_httpson/2/proxy_dump.pcap.zip,1319923
cloud_proxy_and_attacker_noattacker_httpson/2/receiver_dump.pcap.zip,400
cloud_proxy_and_attacker_noattacker_httpson/2/server_dump.pcap.zip,1200616
cloud_proxy_and_attacker_noattacker_httpson/3/client1_dump.pcap.zip,106510
cloud_proxy_and_attacker_noattacker_httpson/3/proxy_dump.pcap.zip,1318574
cloud_proxy_and_attacker_noattacker_httpson/3/receiver_dump.pcap.zip,400
cloud_proxy_and_attacker_noattacker_httpson/3/server_dump.pcap.zip,1199328
cloud_proxy_and_attacker_withattacker/1/attacker_dump.pcap.zip,10280570
cloud_proxy_and_attacker_withattacker/1/client1_dump.pcap.zip,81045
cloud_proxy_and_attacker_withattacker/1/proxy_dump.pcap.zip,23656580
cloud_proxy_and_attacker_withattacker/1/receiver_dump.pcap.zip,7820273
cloud_proxy_and_attacker_withattacker/1/server_dump.pcap.zip,5421354
cloud_proxy_and_attacker_withattacker/2/attacker_dump.pcap.zip,10431909
cloud_proxy_and_attacker_withattacker/2/client1_dump.pcap.zip,80988
cloud_proxy_and_attacker_withattacker/2/proxy_dump.pcap.zip,23874128
cloud_proxy_and_attacker_withattacker/2/receiver_dump.pcap.zip,7991445
cloud_proxy_and_attacker_withattacker/2/server_dump.pcap.zip,5356265
cloud_proxy_and_attacker_withattacker/3/attacker_dump.pcap.zip,10019945
cloud_proxy_and_attacker_withattacker/3/client1_dump.pcap.zip,81018
cloud_proxy_and_attacker_withattacker/3/proxy_dump.pcap.zip,23438971
cloud_proxy_and_attacker_withattacker/3/receiver_dump.pcap.zip,7708472
cloud_proxy_and_attacker_withattacker/3/server_dump.pcap.zip,5543442
cloud_proxy_and_attacker_withattacker_dtlson/1/attacker_dump.pcap.zip,18730150
cloud_proxy_and_attacker_withattacker_dtlson/1/client1_dump.pcap.zip,414011
cloud_proxy_and_attacker_withattacker_dtlson/1/proxy_dump.pcap.zip,24709762
cloud_proxy_and_attacker_withattacker_dtlson/1/receiver_dump.pcap.zip,402
cloud_proxy_and_attacker_withattacker_dtlson/1/server_dump.pcap.zip,4526714
cloud_proxy_and_attacker_withattacker_dtlson/2/attacker_dump.pcap.zip,18673910
cloud_proxy_and_attacker_withattacker_dtlson/2/client1_dump.pcap.zip,408029
cloud_proxy_and_attacker_withattacker_dtlson/2/proxy_dump.pcap.zip,24626474
cloud_proxy_and_attacker_withattacker_dtlson/2/receiver_dump.pcap.zip,402
cloud_proxy_and_attacker_withattacker_dtlson/2/server_dump.pcap.zip,4521441
cloud_proxy_and_attacker_withattacker_dtlson/3/attacker_dump.pcap.zip,18338128
cloud_proxy_and_attacker_withattacker_dtlson/3/client1_dump.pcap.zip,399770
cloud_proxy_and_attacker_withattacker_dtlson/3/proxy_dump.pcap.zip,24185710
cloud_proxy_and_attacker_withattacker_dtlson/3/receiver_dump.pcap.zip,402
cloud_proxy_and_attacker_withattacker_dtlson/3/server_dump.pcap.zip,4463292
cloud_proxy_and_attacker_withattacker_dtlson_httpson/1/attacker_dump.pcap.zip,20363895
cloud_proxy_and_attacker_withattacker_dtlson_httpson/1/client1_dump.pcap.zip,405677
cloud_proxy_and_attacker_withattacker_dtlson_httpson/1/proxy_dump.pcap.zip,64681783
cloud_proxy_and_attacker_withattacker_dtlson_httpson/1/receiver_dump.pcap.zip,418
cloud_proxy_and_attacker_withattacker_dtlson_httpson/1/server_dump.pcap.zip,43321068
cloud_proxy_and_attacker_withattacker_dtlson_httpson/2/attacker_dump.pcap.zip,17873634
cloud_proxy_and_attacker_withattacker_dtlson_httpson/2/client1_dump.pcap.zip,397216
cloud_proxy_and_attacker_withattacker_dtlson_httpson/2/proxy_dump.pcap.zip,55396109
cloud_proxy_and_attacker_withattacker_dtlson_httpson/2/receiver_dump.pcap.zip,418
cloud_proxy_and_attacker_withattacker_dtlson_httpson/2/server_dump.pcap.zip,36598723
cloud_proxy_and_attacker_withattacker_dtlson_httpson/3/attacker_dump.pcap.zip,19032642
cloud_proxy_and_attacker_withattacker_dtlson_httpson/3/client1_dump.pcap.zip,408662
cloud_proxy_and_attacker_withattacker_dtlson_httpson/3/proxy_dump.pcap.zip,59490010
cloud_proxy_and_attacker_withattacker_dtlson_httpson/3/receiver_dump.pcap.zip,418
cloud_proxy_and_attacker_withattacker_dtlson_httpson/3/server_dump.pcap.zip,39487601
cloud_proxy_and_attacker_withattacker_httpson/1/attacker_dump.pcap.zip,9980676
cloud_proxy_and_attacker_withattacker_httpson/1/client1_dump.pcap.zip,80810
cloud_proxy_and_attacker_withattacker_httpson/1/proxy_dump.pcap.zip,69403083
cloud_proxy_and_attacker_withattacker_httpson/1/receiver_dump.pcap.zip,7564807
cloud_proxy_and_attacker_withattacker_httpson/1/server_dump.pcap.zip,51095755
cloud_proxy_and_attacker_withattacker_httpson/2/attacker_dump.pcap.zip,10313324
cloud_proxy_and_attacker_withattacker_httpson/2/client1_dump.pcap.zip,80593
cloud_proxy_and_attacker_withattacker_httpson/2/proxy_dump.pcap.zip,68723526
cloud_proxy_and_attacker_withattacker_httpson/2/receiver_dump.pcap.zip,7742522
cloud_proxy_and_attacker_withattacker_httpson/2/server_dump.pcap.zip,49633802
cloud_proxy_and_attacker_withattacker_httpson/3/attacker_dump.pcap.zip,10189835
cloud_proxy_and_attacker_withattacker_httpson/3/client1_dump.pcap.zip,80762
cloud_proxy_and_attacker_withattacker_httpson/3/proxy_dump.pcap.zip,68367983
cloud_proxy_and_attacker_withattacker_httpson/3/receiver_dump.pcap.zip,7615720
cloud_proxy_and_attacker_withattacker_httpson/3/server_dump.pcap.zip,49505989
